,description,spotify_id,name,no_tracks
1734,"Sa k'ap fèt! Enjoy Haiti’s national music, a smooth modern méringue sound.",37i9dQZF1DXbl4lbUfCVSx,Kompas Dirèk,40
1735,"The smoothest Afro R&B out right now. Cover: <a href=""https://open.spotify.com/artist/5x2vmU3Hj2Y66luW7c7vIn?si=94YfKXqGR4iCWnYhBp9hJA"">Wurld</a>",37i9dQZF1DWU4DdJqbjPl5,Tantalizers,69
1736,"The latest straight bars and Afro-Trap from the motherland. Cover: <a href=""https://open.spotify.com/artist/0GOx72r5AAEKRGQFn3xqXK?si=QLbIgntHRkm6LvJ2aTzxsQ"">GIMS</a>",37i9dQZF1DXdl8xYyG9Dm1,No Wahala,70
1737,"The most known Afro-pop classics, all in one place! Cover: <a href=""spotify:artist:18RkLKfeoUgZflWv9os25W"">Miriam Makeba</a>",37i9dQZF1DXcIme26eJxid,Classic Afropop,40
1738,"Traditional Ethiopian nostalgic Tezeta music, soul and Afro-funk.",37i9dQZF1DXcadB69DKC8c,Tezeta,50
1739,Gospel music from across the African continent. Worship in your mother tongue here!,37i9dQZF1DX9lAYMw7KoAO,Redeemed,65
1740,Fall in love with the sensual sounds of Kizomba! Cover: Loony Johnson,37i9dQZF1DX1l6qs3gcM4U,Dancing Kizomba,75
1741,"From Lagos to Joburg, feel the electro and dance vibe. Cover: <a href=""https://open.spotify.com/artist/6wMr4zKPrrR0UVz08WtUWc?si=GyMDLy0jQpCRlbW2Oz3tHg"">Black Coffee</a>",37i9dQZF1DX6eyIKoZCdug,Oya Dance,40
1742,From Dar es Salaam to beyond. Get your fill of Bongo Flava.,37i9dQZF1DX3EbcelyrZPd,Bongo Flava,40
1743,Ethio-Jazz and Ethio-Pop favourites from the land that gave us coffee.,37i9dQZF1DX9iCbjihw5BR,Ethiopian Coffee,54
1744,"Fresh finds and early bets from the Afro scene. 
Cover: <a href=""https://open.spotify.com/artist/048LktY5zMnakWq7PTtFrz?si=ywi84gCSQIqkTGi5Q2xz6Q"">CKay</a>",37i9dQZF1DX6036iaZ2MYP,Peppeh,74
1745,"Alternative / Indie / Folk cuts from the continent and diaspora to dive into. Cover: <a href=""https://open.spotify.com/artist/1cnBVQulaNSvbind6A0dVD?si=NxqLhkYzQLORN9F8rgQD5Q"">The Cavemen.</a>",37i9dQZF1DXaYLfJcKWFfF,Afro Indie,59
1746,African dance party music from Paris to Abidjan.,37i9dQZF1DX0z1epx5KTtS,Coupe Decale,40
1747,Hit music from Ethiopia's finest.,37i9dQZF1DX8Q8vgP3md04,Ethio-Pop,54
1748,Zambia had a huge rock explosion in the 70’s that shook the world! Here are some classic Zamrock jams!,37i9dQZF1DWY7TEf86LRjN,Welcome To Zamrock,34
1749,"A fusion of highlife and hip-hop, these hip-life jams are undeniable.",37i9dQZF1DX9Y4P09E4dNP,Hip-Life Hits,40
1750,The hottest pop music from Nairobi to Dar!,37i9dQZF1DWVkyW4DM7wMY,Eastern Vibes,40
1751,The sweet sounds of Sudan.,37i9dQZF1DX15iTqq2X8NE,Sudan Sounds,50
1752,"Proudly South African classics. Cover: <a href=""https://open.spotify.com/artist/7idPv1alc0mcEhEsKlMV2O?si=AMmA0XYMRCeF3-HGc030gg"">Johnny Clegg</a>",37i9dQZF1DXcNdPSCaTGoa,SA Gold,60
1753,"Beautiful proudly South African gems made for the entire family. Cover: <a href=""https://open.spotify.com/artist/09CY8fzqhZHR7rQAULoreI?si=j9uVsc6pShicQoVQpqpI1A"">Mlindo The Vocalist</a>",37i9dQZF1DX9wXOYagay8L,Made In South Africa,58
1754,"Only the hottest in South African Hip Hop & R&B. Cover: <a href=""https://open.spotify.com/artist/4TvEx3QxTDbOBf5XgfNPiU?si=SVrV2XrrSfq7Q3f8ADX4Vw"">Moozlie</a>",37i9dQZF1DWVEcPtggpQMu,Aux,56
1755,"Maskandi favourites for every day of the week. Cover: <a href=""https://open.spotify.com/artist/7exwnL9NFBRuwqUEvX8kGP?si=1cAhcaANREyS-wXav9tJWA"">Phuzekhemisi</a>",37i9dQZF1DX2xhOTSp6PjQ,Maskandi Favourites,51
1756,"Only the hottest out now in South African Rock and Punk. Cover: <a href=""https://open.spotify.com/artist/2Fe88RexUZSpwGxgpaR5uz?si=0OUPvMEyQUWIcHISSg1VPA"">Desmond and the Tutus</a>",37i9dQZF1DX9mHcd54VItZ,SA Rock Essentials,51
1757,Songs by Muslims from all around the world.,37i9dQZF1DX38snDqzaVVW,Muslim Vibes,100
1758,Cool vibes from the African continent.,37i9dQZF1DWT2I2nyOA0zG,Afrocentric,63
1759,Carnival anthems for the road.,37i9dQZF1DX0rM1NjYKMJa,Carnival,63
1760,O batidão dos funks mais bombados pra agitar a pista do seu baile!,37i9dQZF1DWWmaszSfZpom,Segue o Baile,90
1761,"This is 2Baba. The essential tracks, all in one playlist.",37i9dQZF1DZ06evO1m1kAx,This Is 2Baba,50
1762,"This is Ali Farka Touré. The essential tracks, all in one playlist.",37i9dQZF1DZ06evO1Xa1Op,This Is Ali Farka Touré,50
1763,"This is Akon. The essential tracks, all in one playlist.",37i9dQZF1DZ06evO0gCG2c,This Is Akon,50
1764,"This is Angelique Kidjo. The essential tracks, all in one playlist.",37i9dQZF1DZ06evO2WUSS8,This Is Angelique Kidjo,50
1765,"This is Black Coffee. The essential tracks, all in one playlist.",37i9dQZF1DZ06evO3R5f8c,This Is Black Coffee,50
1766,Very funny podcasts by very funny people. Updates every other Monday.,37i9dQZF1DX1ywXghfWcTX,Laugh Out Loud,10
1767,Architects on top of the biggest Metal playlist!,37i9dQZF1DWTcqUzwhNmKv,Kickass Metal,60
1768,The latest and greatest metal tracks on Spotify. Cover: Cane Hill,37i9dQZF1DX5J7FIl4q56G,New Metal Tracks,100
1769,This is the new core at its finest. Cover: Captives,37i9dQZF1DWXIcbzpLauPS,New Core,100
1770,All hail the eyebrow ring. Cover: Limp Bizkit,37i9dQZF1DXcfZ6moR6J0G,Nu Metal Generation,60
1771,Like the old school sound of metal? Then you'll love this playlist!,37i9dQZF1DX2LTcinqsO68,Old School Metal,140
1772,"Heavy Metal forever. From classics to fresh new tracks, just play it loud!",37i9dQZF1DX9qNs32fujYe,Heavy Metal,140
1773,A collection of the biggest Metal classics of the 00s. Cover: System Of A Down,37i9dQZF1DWXNFSTtym834,00s Metal Classics,139
1774,A collection of the biggest Metal classics of the 90s. Cover : Metallica,37i9dQZF1DX08jcQJXDnEQ,90s Metal Classics,145
1775,Want some metal? Better to start with the essentials. Cover: Pantera,37i9dQZF1DWWOaP4H0w5b0,Metal Essentials,78
1776,"Slow, sludgy stoner rock. You can practically taste the desert dirt in your mouth while listening to these dark blues and rough rock numbers.",37i9dQZF1DXdpVGstUksUC,Stoner Rock,150
1777,Ultimate Metal  brings you the best metal tracks from the last couple of years. Cover: Slipknot,37i9dQZF1DWXHwQpcoF2cC,Ultimate Metal,140
1778,"A collection of the best Deathcore tracks, mixing recent and fresh new tracks. Cover: Brand of Sacrifice",37i9dQZF1DX1cJWWyylDuw,Deathcore,120
1779,All the biggest Core tracks of the moment. Cover: Architects,37i9dQZF1DXakaomPRkkDa,Top Of The Core,91
1780,A selection of the greatest Metalcore classics.,37i9dQZF1DX6P51sFpSo2r,Metalcore Classics,78
