,description,spotify_id,name,no_tracks
370,,4jByqldzFPpvXnWwXIv9TO,New Hiphop Classics,38
371,,3dGRjSG4xmpTvb6HJJM3YM,90s Pop Rock,44
372,,3nQpMne4QFOYuqScLeWQtT,90s Pop RnB,78
373,,4aVj7xic9kSTrNZZ2pJV04,Top Classic Rock,222
374,,0yOglSZy7OIKG7X10KajOX,Punk Throwbacks,207
375,,2L1TUQG3Nk0WlFhSdZq4Mo,Shakira Favs,47
376,,5Neq3HZmk1AFM42XEsN2ZE,Magnetic Funk,95
377,Only the best hits from Radiohits! Check us out @ throwbacktracks.com,3lGCvfvQ6YCWrMvkZRDBma,Radiohead Favs,16
378,"Featuring the BEST HIT releases from the year 2020 + new artists | From Iggy, Adriana Grande, Post Malone and Lizzo!  Reminisce in Nostalgia! Be sure to check out our other playlists! web: throwbacktracks.com | instagram: thethrowbacktracks",4jSVL6ZfBtvzrWmmPSTgkI,2020 Hits,102
379,Featuring the BEST HIT releases from the year 2019 plus some new music |  Reminisce in Nostalgia! Be sure to check out our other playlists! web: throwbacktracks.com | instagram: thethrowbacktracks,78NSwK8U2PdNGBmkrI5i66, 2019 Hits,167
380,Featuring the BEST HIT releases from the year 2018 plus some new music |  Reminisce in Nostalgia! Be sure to check out our other playlists! web: throwbacktracks.com | instagram: thethrowbacktracks,5TgwU962oxYOeAF3lnKONs, 2018 Hits,71
381,Featuring the BEST HIT releases from the year 2017 plus some new music |  Reminisce in Nostalgia! Be sure to check out our other playlists! web: throwbacktracks.com | instagram: thethrowbacktracks,0yWHPqOEM9olSXpEaagxc6, 2017 Hits,87
382,Featuring the BEST HIT releases from 2016 plus some new music | Reminisce in Nostalgia! Be sure to check out our other playlists! web: throwbacktracks.com | instagram: thethrowbacktracks,0a41v1jx28RyoDHhKi5DJR,2016 Hits,81
383,Featuring the BEST HIT releases plus some new music | Reminisce in Nostalgia! Be sure to check out our other playlists! web: throwbacktracks.com | instagram: thethrowbacktracks,20K12yslgchif3E69cjAYz, 2015 Hits,91
384,Featuring the BEST HIT releases plus some new music | Reminisce in Nostalgia! Be sure to check out our other playlists! web: throwbacktracks.com | instagram: thethrowbacktracks,5KpUsCuhv4kN4LzSdIvaG8,2014 Hits,137
385,,49USVFK89mquEevzyoWwV7,2013 Hits,134
386,Featuring the BEST HIT releases plus some new music | Reminisce in Nostalgia! Be sure to check out our other playlists! web: throwbacktracks.com | instagram: thethrowbacktracks,3mmG90Ig9YrdZOH7yDQJVp, 2012 Hits,137
387,,58bZVzlqqY9mTgtV2Li1QR,Best of Julien Clerc,45
388,La bande originale du nouveau livre de Line Renaud &quot;En toute confidence&quot;.,2YZL3s2pffdCVsvo2An999,Line Renaud : En toute confidence,32
389,"All the hits in one playlist : &quot;Let's Love (feat. Sia)&quot;, &quot;Memories (feat Kid Cudi)&quot;, &quot;Say My Name (feat. Bebe Rexha, J Balvin)&quot;, &quot;Titanium (feat. Sia)&quot;, &quot;Without You (feat. Usher)&quot;...",1DHhWaAzOTvZEG5vDHbHOD,David Guetta - Top Hits,61
390,Passez un noël tout en douceur entouré de vos proches avec de la musique classique. ,1QlG4pO3iHjZI006QrB8yZ,Noël en Musique Classique,57
391,"Le meilleur de mickey3d, inclus &quot;Respire 2020 (feat. Bigflo &amp; Oli)&quot;.",3eR7nji4wPwHscVxhpVkRi,mickey3d feat. Bigflo & Oli - Respire 2020,31
392,"Tous les hits de Noël pour célébrer la magie et l’esprit de Noël. Michael Bublé, Mariah Carey, Tino Rossi. Top100 des Hits de Noël 2020. Joyeux Noël. Chants de Noël et plus belles chansons de Noël.",2wlZ9OIdKnLrSLRqIpBPax,Noël Hits Top 100 (Musique de Noël 2020),100
393,,5OXDtZIi6bkC9cWsaptaPk,,39
394,"Les sons les plus populaires de TikTok en France feat. Cono - Jason Derulo, Ninho, Gambi, Aya Nakamura | Viral | Top 40 France | pour toi | for you | tiktok trending | tiktok hits | musique tik tok | choré",18zrHLbFiDGmEda4eRyMAU,TikTok Songs 2021 | France,232
395,"Tout ce qu'il te faut pour une motivation au max ! Gainage, Abdos, Cardio, Sport, Running, Jogging c'est parti!! - Sport, Entrainement",551SJmkXCINPQEZgAAEjVM,Fitness Motivation Hits 2021,48
396,"Prenez une grande respiration et profitez des meilleurs titres pour rester Zen et Relax en toutes circonstances - Relaxation, Calme, Bien être, Concentration, Télétravail",7qBad66jOU8L7SbjjzKsgq,ZEN ET RELAX 2021,166
397,La sélection musicale pour rester concentré.,7oTTxlZ1IEGb6VxLFhpSGN,Travailler à la maison ,200
398,"Couverture : Liam Gallagher, Nouveau single &quot;All You're Dreaming Of&quot;.",0bakY3U4NH6kJY2X4JPWg6,You Rock,50
399,.,2rabhuBRetBSe9Y93o1d7c,INDIE MOOD,50
400,"Inclus &quot;Gang&quot;, &quot;Muerte&quot; (feat. Marwa Loud), &quot;Caliente&quot;, &quot;Ailleurs&quot; (feat. Maes), &quot;Copilote&quot;, &quot;Week-end&quot; (feat. Leto), &quot;Cavaler&quot;, &quot;Charbonner&quot;...",0QzeAMhEKvzYBAPsFNnQac,Timal - Trop Caliente,34
401,,661i05pY88IwAQs6gbDoki,La playlist de Léa Paci,33
402,Nouvel album Minuit 17,2Nu9iRlT1Qcl7pRvrOfsEr,Navii - Minuit 17,53
403,,3KN1a770MCGa7DQ9moqKfH,Rec. 118 Classics,60
404,,5c6LG2pXJiIsm5EvcjQRMN,La playlist de Tessa B.,36
405,Retrouvez Andriamad dans la sélection des douze finalistes EUROVISION FRANCE avec leur nouveau single &quot;Alléluia&quot;.,2gox0iQwEBP3nGQnfFx711,"Andriamad - ""Alléluia""",15
406,.,0MvqOM0EjEeUjykQHoaevy,Stephane legar - Favela,32
407,,2SSVJqr5Yx8DsYJC6cld0o,Dabs - Mode S,26
408,,0kAf0FilZB6fGdFRsezifg,7 Jaws : Dalton,14
409,.,2ocepo1pkfMjQ38JggO1gi,Twinsmatic - VILLE (feat. Box & Frenetik),14
410,Retrouvez tous les artistes à l'affiche du festival sur www.sofa-festival.fr,0Bh1wvC1z9rPVW4RsWam3s,SOFA Festival,44
411,"Inclus &quot;Pablito&quot;, &quot;Vai&quot;, &quot;Mi Vida&quot;...",0QKsHomcvm8as8AnFGmMu3,Bianca Costa : Florianopolis,8
412,"21 Juin Le Duo, fraichement sélectionné pour l’EUROVISION FRANCE 2021, revient avec un nouveau single &quot;Peux-tu me dire ?&quot;",7gxDzyo0xaILgEQ2AnZFQf,Peux-tu me dire - La playlist de 21 juin Le Duo,41
413,Playlist inspirée du film et du jeu.,0lzhN00v0GFy3o4Mzagrjd,"Sonic, le film",32
414,Nouveau single &quot;Une maman qui pleure&quot;  (feat. Jokair &amp; Key Largo).,6mRqeQjfRsTNQlOQYFv2s8,Isha - Une maman qui pleure (feat. Jokair & Key Largo),11
415,"Inclus &quot;Bensema&quot;, &quot;Yise&quot;, &quot;Illuminar&quot;, &quot;Lengueno&quot;, &quot;Toujours&quot;...",79klXM6F1X2a7FWOOubyI3,Synapson : Global Musique Vol. 1,11
416,.,1tljNvtfYLafD0vdH7PzYD,SÔNGE - Flavourite CÂLÂ Deluxe,19
417,Tous les meilleurs sons de Hunter sont dans cette playlist.,7MWUHPucaOQ8HLrqA0Uuy1,Hunter - Dessine,9
418,Nouveau single &quot;Skoll&quot;.,5hXs91QGnK8WkbawP0p7KG,N'seven7 - Skoll,5
419,Retrouve tous les tubes de la fantabuleuse saga de Harley Quinn.,5oztZ3UQZjUtrMj8SoH28f,Birds of Prey - La playlist officielle,29
420,2010-2019 : une décennie de tubes WEA !,6WnPdpfEn2U3RXdE1SuQ48,WEA 2010 - 2019,85
421,"La meilleure playlist pour faire la fête le soir du nouvel an, danser et se lâcher au son des tubes de l'année 2020 et des plus gros hits. ",2IK9k9hcnIV6IWvbkZC0ov,La playlist du réveillon 2021,76
422,"Nouvel album NDRX, inclus &quot;Choix de vie&quot; (feat. Dosseh), &quot;En bas&quot; (feat. Leto), &quot;Night&quot; (feat. Kaza), &quot;Peur du noir&quot;, &quot;Molo&quot;, &quot;La parisienne&quot;, &quot;Corps à corps&quot;...",1JeIZVpjujAu1ukDOr3haX,Kpoint - NDRX,15
423,,7KQ011QePkJDObjmySbxUT,Best of Brigitte Fontaine,25
424,"Inclus &quot;Likolo (feat. Ninho)&quot;, &quot;Juste une fois (feat. M. Pokora)&quot;, &quot;Un coup (feat. Dadju)&quot;...",4armZw1S660NI4ZTCu4tdu,Fally Ipupa : Tokooos 2,16
425,,3Jwqrn2h5MdNI2nATV8rW3,B-NØM - B-NØM,14
426,Les meilleurs sons de DA Uzi sont dans cette playlist.,1AuafObKVipr14oL6YGvZ0,DA Uzi - WeLaRue 6 (Freestyle),23
427,"Inclus &quot;J'aimerais tellement&quot;, &quot;Pare-balles&quot;, &quot;Dans tes yeux&quot;, &quot;Béni (feat. Maes)&quot;, &quot;HRTBRK #2&quot;, &quot;Bebecita&quot;, &quot;Babyboy&quot;, &quot;Maudit&quot;...",0Wishd5AhHtNfiJcPINhiL,Kaza - HEARTBREAK LIFE (Winter Edition),23
428,Une séléction d'enregistrements emblématiques du label Rhino.,2plyYEuExa7owSZe53RMs5,RHINO,55
429,La playlist pop qui aide à se motiver et à rester positif ! ☀,7igLXKeTEFY63fMiI0Oj8i,Motivation Au Top,100
430,Tous les hits du moment pour rester au top de l'actu musicale.,71Yp73gW0EuxhaPrTkmTN7,Le son au top,50
431,La playlist pour faire la fête,6BPZpwdBp797pxcPDmHfyw,Soirée Dancefloor,70
432,"Premier album LA VIE EST BELLE. inclus PUFF PUFF PUFF, MACINTOSH, J'DEVIENS FOU, POPOPOP, HE OH, ON S'TAILLE, MERCI LA HESS ...",4T0BqxHYQl5rZe3ZDKrc10,Gambi – LA VIE EST BELLE,15
433,"🔥 13 Block, Ninho, SCH... Le meilleur du rap français de 2020 est dans cette playlist by HipHopDX  🔥 ",0qylIR3cDeMuvyltTYMZmH,Rap Français,70
434,"Bangers sur Bangers, les meilleurs sons rap US en 2021 : avec CJ, Roddy Ricch, Kid Cudi, Pop Smoke, Youngboy NBA, Lil Baby, Don Toliver, Gunna, Saweetie, Drake, Ty Dolla $ign, DaBaby, 21 Savage ...",2GvKrURtiohp0j0zDIoqUr,"RAP US by HipHopDX (Feat. Lil Uzi Vert, Future, Cardi B, Jack Harlow...)",50
435,"Tous les hits et les meilleures nouveautés Electro, Dance et EDM pour transformer son salon en dancefloor.",1uaGMQubGbURiMqeNzmO5n,Electro Dance Hits,84
436,Retrouve pour la première fois tous les hits de ta radio préférée sur la playlist officielle NRJ Hit Music Only !,7j8cRb34Hl4S10rGqgemCy,NRJ HIT MUSIC ONLY 2020,60
437,"Our second official playlist for Fjord, curated by Travis Willingham. Playlist art by Minttu Hynninen (@TheMinttu | TheMinttu.tumblr.com)",7hzEAwsAQrCiNoCAk8edCA,Fjord #2 (Mighty Nein),10
438,"Our second official playlist for Beau, curated by Marisha Ray. Playlist art by Vincent Desmond (@hierothraxs)",49EF3doHMn2C7Gf3zbtVbv,Beauregard #2 (Mighty Nein),10
439,"Our second official playlist for Caduceus, curated by Taliesin Jaffe. Playlist art by Sam Hogg (@Zephyri)",52DB5YIIltEwjVrk3XZjBc,Caduceus Clay #2  (Mighty Nein),13
440,Our second official Jester playlist curated by Laura Bailey. Playlist art by @Mikandii,6eTyrgWCKOzdXexuMl6xBB,Jester #2 (Mighty Nein),10
441,Our second official playlist for Veth - previously known as Nott - curated by Sam Riegel | Playlist art by Kasia Brzezinska (@avatarkasia),4tec2FYbhRqg9ntFAKz1lG,Veth Brenatto (Mighty Nein),11
442,Our second official Caleb playlist created by resident wizard Liam O&#x27;Brien. | Playlist art by @LostAcumen,5UdUFxNAcAHX4bFWlELlHD,Caleb #2 (Mighty Nein),12
443,"Our second official Yasha playlist created by our very own soft barbarian, Ashley Johnson. Playlist art by @Jeleynai",6DZDW6IvTiMf9CW6KolQVn,Yasha #2 (Mighty Nein),18
444,Created with love by our own Liam O&#x27;Brien. Featured playlist art by Ariana Orner (@ornerine).,2jsOHZAINVLTjp0B8OoLek,Vax: Raven's Epitaph ,5
445,Our official Fjord playlist created by Travis Willingham. Playlist art by @GalacticJonah,0X5qWgWgcjvFFimNlfjdEY,Fjord (Mighty Nein),12
446,Our offical Caduceus Clay playlist created by Taliesin Jaffe. Playlist art by Anna Zee (@AnnaZee_S).,7gRhE6xiMj8bsuWHnoRoLf,Caduceus Clay (Mighty Nein),13
447,Our official Yasha playlist created by Ashley Johnson. Playlist art by Courtney Facca (@quortknee).,46dT62mBaT89q0ajcG88ss,Yasha (Mighty Nein),14
448,Our official Mollymauk Tealeaf playlist created lovingly by our very own Taliesin Jaffe. LONG MAY HE REIGN. Playlist art created by Hunter Bonyun || @deerlordhunter (lines) and Stephan McGowan || @RedBeanViolin (color).,6TbcWpob9im9YgzYhLrKhW,Mollymauk Tealeaf (Mighty Nein),12
449,Our official Nott the Brave playlist created by Emmy Award winner Sam Riegel. Playlist art by Ruby || @vul_AP.,4BQU4SW23o0WKWPcw0Ufyz,Nott the Brave (Mighty Nein),13
450,"Our official Beauregard playlist, created by the always fierce Marisha Ray. Because sleeves are bullsh*t. Playlist art by Ash || @planarbindings",2CKDWoWdpkxsO3qeczwrd7,Beauregard (Mighty Nein),12
451,"Our official Caleb Widogast playlist created by our favorite wizard, Liam O&#x27;Brien. Playlist art by Rachel Boldt || @rachelboldt)",1OL0V2KdvjwIT4GPWYHJtD,Caleb Widogast (Mighty Nein),16
452,,4sVct6JTBkRXijb9KpyeEr,Vex #3 (Vox Machina),9
453,,2tfXHOyHwk4gmXGNbjf64s,Percy #3 (Vox Machina),12
454,Our official Jester playlist created by our very own Laura Bailey. Playlist art by zuzartii.tumblr.com.,4ADsnIyZricYM4sSgGMCKF,Jester (Mighty Nein),11
455,,6dp6j87HADTcNpz3n2FUs6,Scanlan #3 (Vox Machina),14
456,,3LRbQZHDP152pWnqaJM36W,Vax #3 (Vox Machina),14
457,,1VWEdFR2s1ckiVqhCjDixS,Grog #2 (Vox Machina),10
458,,2gvWwJm6lmDKUn1Zad4y8S,Percy #2 (Vox Machina),11
459,,5YhEauTVgMg2QQOw2QwtTo,Vex #2 (Vox Machina),10
460,,1SOpfBYIX3AK2LWdelzcCA,Scanlan #2 (Vox Machina),10
461,,0UbfV6YD095Io5EleEZDEw,Keyleth #2 (Vox Machina),10
462,,7l7GswS9J0dhnOUJRi2qhj,Vax #2 (Vox Machina),11
463,,7iRwcnbuJ7rhaIbMb5IbeF,Trinket (Vox Machina),10
464,,52t7flh7CPcmlonDiPJFoD,Matthew Mercer #1,11
465,,3ZvICE2GFxMWSKho6weGD5,Pike #1 (Vox Machina),12
466,,25D7F2chy5AO44x331vWzy,Grog #1 (Vox Machina),10
467,,0kYouSKDXqe8sU3ZzSAgjb,Scanlan #1 (Vox Machina),9
468,,3vsnCWdJh7hawiZBs9csr2,Keyleth #1 (Vox Machina),11
469,,635ignwuGKIdvZ83CkxYPp,Vex #1 (Vox Machina),10
470,,2t8y9Tkp7OyvFRD2IeFruu,Vax #1 (Vox Machina),10
